iteration: 100/100000, 	val loss: 0.031710497103631496, 	train loss: 0.03368861401453614, 	best loss: 0.031710497103631496
iteration: 8000/100000, 	val loss: 0.02331066323444247, 	train loss: 0.022523879252374174, 	best loss: 0.02331066323444247
iteration: 8500/100000, 	val loss: 0.022602835725992917, 	train loss: 0.022586061894893646, 	best loss: 0.022602835725992917
iteration: 9000/100000, 	val loss: 0.023249703161418438, 	train loss: 0.02224026292935014, 	best loss: 0.022602835725992917
iteration: 9500/100000, 	val loss: 0.022482930459082128, 	train loss: 0.022092417865991594, 	best loss: 0.022482930459082128
iteration: 9500/100000, 	val loss: 0.022786891609430312, 	train loss: 0.0, 	best loss: 0.022602835725992917
iteration: 9500/100000, 	val loss: 0.022663683760911227, 	train loss: 0.0, 	best loss: 0.022602835725992917
iteration: 10000/100000, 	val loss: 0.022017336525022982, 	train loss: 0.021674062453210356, 	best loss: 0.022017336525022982
iteration: 10500/100000, 	val loss: 0.02251368876546621, 	train loss: 0.021517572838813066, 	best loss: 0.022017336525022982
iteration: 11000/100000, 	val loss: 0.02221891388297081, 	train loss: 0.02131912075355649, 	best loss: 0.022017336525022982
iteration: 11500/100000, 	val loss: 0.021618282049894334, 	train loss: 0.021244939021766187, 	best loss: 0.021618282049894334
iteration: 11500/100000, 	val loss: 0.021773786041885613, 	train loss: 0.0, 	best loss: 0.021773786041885613
iteration: 12000/100000, 	val loss: 0.021394026540219782, 	train loss: 0.02103085382655263, 	best loss: 0.021394026540219782
iteration: 12500/100000, 	val loss: 0.02225949315354228, 	train loss: 0.020847404193133117, 	best loss: 0.021394026540219782
iteration: 12500/100000, 	val loss: 0.022203096356242895, 	train loss: 0.0, 	best loss: 0.021394026540219782
iteration: 13000/100000, 	val loss: 0.021908792685717344, 	train loss: 0.021123406574130057, 	best loss: 0.021394026540219782
iteration: 13000/100000, 	val loss: 0.02183187771588564, 	train loss: 0.0, 	best loss: 0.021394026540219782
iteration: 13500/100000, 	val loss: 0.02133676640689373, 	train loss: 0.020950238019227983, 	best loss: 0.02133676640689373
iteration: 13500/100000, 	val loss: 0.0212422020919621, 	train loss: 0.0, 	best loss: 0.0212422020919621
iteration: 13500/100000, 	val loss: 0.02112665843218565, 	train loss: 0.0, 	best loss: 0.02112665843218565
iteration: 14000/100000, 	val loss: 0.021009616293013095, 	train loss: 0.020591286946088076, 	best loss: 0.021009616293013095
iteration: 14500/100000, 	val loss: 0.021110070552676916, 	train loss: 0.020373349484056235, 	best loss: 0.021009616293013095
iteration: 15000/100000, 	val loss: 0.02072211805731058, 	train loss: 0.020256812304258347, 	best loss: 0.02072211805731058
iteration: 15500/100000, 	val loss: 0.020263667646795512, 	train loss: 0.020429860256612302, 	best loss: 0.020263667646795512
iteration: 15500/100000, 	val loss: 0.020989323165267706, 	train loss: 0.0, 	best loss: 0.02072211805731058
iteration: 16000/100000, 	val loss: 0.021304231062531473, 	train loss: 0.020371998116374017, 	best loss: 0.02072211805731058
iteration: 16000/100000, 	val loss: 0.02130994528532028, 	train loss: 0.0, 	best loss: 0.02072211805731058
iteration: 16000/100000, 	val loss: 0.021241472139954566, 	train loss: 0.0, 	best loss: 0.02072211805731058
iteration: 16000/100000, 	val loss: 0.021327076479792595, 	train loss: 0.0, 	best loss: 0.02072211805731058
iteration: 16000/100000, 	val loss: 0.02152927849441767, 	train loss: 0.0, 	best loss: 0.02072211805731058
iteration: 16500/100000, 	val loss: 0.021018942128866912, 	train loss: 0.020064888558350504, 	best loss: 0.02072211805731058
iteration: 16500/100000, 	val loss: 0.020500797294080258, 	train loss: 0.0, 	best loss: 0.020500797294080258
iteration: 17000/100000, 	val loss: 0.019862508783116937, 	train loss: 0.019748042427003384, 	best loss: 0.019862508783116937
iteration: 17500/100000, 	val loss: 0.020501281991600992, 	train loss: 0.019550404276698827, 	best loss: 0.019862508783116937
iteration: 17500/100000, 	val loss: 0.020071790404617786, 	train loss: 0.0, 	best loss: 0.019862508783116937
iteration: 18000/100000, 	val loss: 0.020133787374943493, 	train loss: 0.019626396471634507, 	best loss: 0.019862508783116937
iteration: 18500/100000, 	val loss: 0.020741647761315107, 	train loss: 0.01939790521003306, 	best loss: 0.019862508783116937
iteration: 19000/100000, 	val loss: 0.020143007524311543, 	train loss: 0.019565140292048453, 	best loss: 0.019862508783116937
iteration: 19500/100000, 	val loss: 0.01977142279036343, 	train loss: 0.019492197340354324, 	best loss: 0.01977142279036343
iteration: 19500/100000, 	val loss: 0.01924799514003098, 	train loss: 0.0, 	best loss: 0.01924799514003098
iteration: 19500/100000, 	val loss: 0.019515305869281293, 	train loss: 0.0, 	best loss: 0.019515305869281293
iteration: 20000/100000, 	val loss: 0.020096477381885053, 	train loss: 0.019232754532247782, 	best loss: 0.019515305869281293
iteration: 20000/100000, 	val loss: 0.020383705757558344, 	train loss: 0.0, 	best loss: 0.019515305869281293
iteration: 20500/100000, 	val loss: 0.019875368438661098, 	train loss: 0.01919604167342186, 	best loss: 0.019515305869281293
iteration: 21000/100000, 	val loss: 0.02022553589195013, 	train loss: 0.019357715744525193, 	best loss: 0.019515305869281293
iteration: 21500/100000, 	val loss: 0.01915728246793151, 	train loss: 0.01906549559533596, 	best loss: 0.01915728246793151
iteration: 22000/100000, 	val loss: 0.019164026603102683, 	train loss: 0.01906581993587315, 	best loss: 0.01915728246793151
iteration: 22500/100000, 	val loss: 0.02013938032090664, 	train loss: 0.01890898125246167, 	best loss: 0.01915728246793151
iteration: 22500/100000, 	val loss: 0.020666719935834407, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 22500/100000, 	val loss: 0.019909714367240667, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 23000/100000, 	val loss: 0.019415393490344286, 	train loss: 0.018722191628068686, 	best loss: 0.01915728246793151
iteration: 23500/100000, 	val loss: 0.019733743024989963, 	train loss: 0.01865078847296536, 	best loss: 0.01915728246793151
iteration: 24000/100000, 	val loss: 0.020112761380150914, 	train loss: 0.018776583982631566, 	best loss: 0.01915728246793151
iteration: 24500/100000, 	val loss: 0.019833955746144057, 	train loss: 0.018639961682260037, 	best loss: 0.01915728246793151
iteration: 24500/100000, 	val loss: 0.01970636386424303, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 24500/100000, 	val loss: 0.019371124897152186, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 25000/100000, 	val loss: 0.019355260524898766, 	train loss: 0.018634264590218663, 	best loss: 0.01915728246793151
iteration: 25000/100000, 	val loss: 0.019264886397868396, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 25500/100000, 	val loss: 0.019486166927963497, 	train loss: 0.01863659424893558, 	best loss: 0.01915728246793151
iteration: 25500/100000, 	val loss: 0.01980628265067935, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 25500/100000, 	val loss: 0.019389385376125574, 	train loss: 0.0, 	best loss: 0.01915728246793151
iteration: 26000/100000, 	val loss: 0.01892159363254905, 	train loss: 0.018696983648464085, 	best loss: 0.01892159363254905
iteration: 26500/100000, 	val loss: 0.01935246342793107, 	train loss: 0.018456892244517804, 	best loss: 0.01892159363254905
iteration: 27000/100000, 	val loss: 0.019856788218021393, 	train loss: 0.018424878094345332, 	best loss: 0.01892159363254905
iteration: 27500/100000, 	val loss: 0.019482941133901477, 	train loss: 0.01837144797295332, 	best loss: 0.01892159363254905
iteration: 28000/100000, 	val loss: 0.0184792423248291, 	train loss: 0.01821010484173894, 	best loss: 0.0184792423248291
iteration: 28000/100000, 	val loss: 0.01853204045444727, 	train loss: 0.0, 	best loss: 0.01853204045444727
iteration: 28500/100000, 	val loss: 0.01901175541803241, 	train loss: 0.018222895856946707, 	best loss: 0.01853204045444727
iteration: 29000/100000, 	val loss: 0.018903936380520462, 	train loss: 0.018195383187383413, 	best loss: 0.01853204045444727
iteration: 29000/100000, 	val loss: 0.019219845412299038, 	train loss: 0.0, 	best loss: 0.01853204045444727
iteration: 29500/100000, 	val loss: 0.01923185931518674, 	train loss: 0.017986892545595764, 	best loss: 0.01853204045444727
iteration: 30000/100000, 	val loss: 0.019780797585844993, 	train loss: 0.018074826512485744, 	best loss: 0.01853204045444727
iteration: 30500/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 31000/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 31500/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 32000/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 32500/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 33000/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 33500/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 34000/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.01853204045444727
iteration: 28000/100000, 	val loss: 0.018847867576405407, 	train loss: 0.0, 	best loss: 0.01853204045444727
iteration: 28500/100000, 	val loss: 0.01871982082724571, 	train loss: 0.018296119056642055, 	best loss: 0.01853204045444727
iteration: 29000/100000, 	val loss: 0.018491449607536195, 	train loss: 0.01807159912958741, 	best loss: 0.018491449607536195
iteration: 29500/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.018491449607536195
iteration: 30000/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.018491449607536195
iteration: 30500/100000, 	val loss: nan, 	train loss: nan, 	best loss: 0.018491449607536195
